socp	soc
111021	11-1021
1110XX	11-1011
1110XX	11-1031
112011	11-2011
112020	11-2021
112020	11-2022
112031	11-2031
113011	11-3011
113021	11-3021
113031	11-3031
113051	11-3051
113061	11-3061
113071	11-3071
113111	11-3111
113121	11-3121
113131	11-3131
119013	11-9013
119021	11-9021
119030	11-9031
119030	11-9032
119030	11-9033
119030	11-9039
119041	11-9041
119051	11-9051
119071	11-9071
119081	11-9081
119111	11-9111
119121	11-9121
119141	11-9141
119151	11-9151
119161	11-9161
119XXX	11-9061
119XXX	11-9131
119XXX	11-9199
131011	13-1011
131021	13-1021
131022	13-1022
131023	13-1023
131030	13-1031
131030	13-1032
131041	13-1041
131051	13-1051
131070	13-1071
131070	13-1074
131070	13-1075
131081	13-1081
131111	13-1111
131121	13-1121
131131	13-1131
131141	13-1141
131151	13-1151
131161	13-1161
131199	13-1199
132011	13-2011
132021	13-2021
132031	13-2031
132041	13-2041
132051	13-2051
132052	13-2052
132053	13-2053
132061	13-2061
132070	13-2071
132070	13-2072
132081	13-2081
132082	13-2082
132099	13-2099
151111	15-1111
151121	15-1121
151122	15-1122
151131	15-1131
151134	15-1134
15113X	15-1132
15113X	15-1133
151141	15-1141
151142	15-1142
151143	15-1143
151150	15-1151
151150	15-1152
151199	15-1199
152011	15-2011
152031	15-2031
1520XX	15-2021
1520XX	15-2041
1520XX	15-2091
1520XX	15-2099
171010	17-1011
171010	17-1012
171020	17-1021
171020	17-1022
172011	17-2011
172041	17-2041
172051	17-2051
172061	17-2061
172070	17-2071
172070	17-2072
172081	17-2081
1720XX	17-2021
1720XX	17-2031
172110	17-2111
172110	17-2112
172121	17-2121
172131	17-2131
172141	17-2141
1721XX	17-2151
1721XX	17-2171
1721YY	17-2161
1721YY	17-2199
173010	17-3011
173010	17-3012
173010	17-3013
173010	17-3019
173020	17-3021
173020	17-3022
173020	17-3023
173020	17-3024
173020	17-3025
173020	17-3026
173020	17-3027
173020	17-3029
173031	17-3031
191010	19-1011
191010	19-1012
191010	19-1013
191020	19-1021
191020	19-1022
191020	19-1023
191020	19-1029
191030	19-1031
191030	19-1032
1910XX	19-1041
1910XX	19-1042
1910XX	19-1099
192010	19-2011
192010	19-2012
192021	19-2021
192030	19-2031
192030	19-2032
192040	19-2041
192040	19-2042
192040	19-2043
192099	19-2099
193011	19-3011
193030	19-3031
193030	19-3032
193030	19-3039
193051	19-3051
1930XX	19-3022
1930XX	19-3041
1930XX	19-3091
1930XX	19-3092
1930XX	19-3093
1930XX	19-3094
1930XX	19-3099
194011	19-4011
194021	19-4021
194031	19-4031
1940XX	19-4041
1940XX	19-4051
1940YY	19-4061
1940YY	19-4091
1940YY	19-4092
1940YY	19-4093
1940YY	19-4099
211010	21-1011
211010	21-1012
211010	21-1013
211010	21-1014
211010	21-1015
211010	21-1019
211020	21-1021
211020	21-1022
211020	21-1023
211020	21-1029
211092	21-1092
211093	21-1093
21109X	21-1091
21109X	21-1094
21109X	21-1099
212011	21-2011
212021	21-2021
212099	21-2099
231012	23-1012
2310XX	23-1011
2310XX	23-1021
2310XX	23-1022
2310XX	23-1023
232011	23-2011
232090	23-2091
232090	23-2093
232090	23-2099
251000	25-1011
251000	25-1021
251000	25-1022
251000	25-1031
251000	25-1032
251000	25-1041
251000	25-1042
251000	25-1043
251000	25-1051
251000	25-1052
251000	25-1053
251000	25-1054
251000	25-1061
251000	25-1062
251000	25-1063
251000	25-1064
251000	25-1065
251000	25-1066
251000	25-1067
251000	25-1069
251000	25-1071
251000	25-1072
251000	25-1081
251000	25-1082
251000	25-1111
251000	25-1112
251000	25-1113
251000	25-1121
251000	25-1122
251000	25-1123
251000	25-1124
251000	25-1125
251000	25-1126
251000	25-1191
251000	25-1192
251000	25-1193
251000	25-1194
251000	25-1199
252010	25-2011
252010	25-2012
252020	25-2021
252020	25-2022
252020	25-2023
252030	25-2031
252030	25-2032
252050	25-2051
252050	25-2052
252050	25-2053
252050	25-2054
252050	25-2059
253000	25-3011
253000	25-3021
253000	25-3099
254010	25-4011
254010	25-4012
254010	25-4013
254021	25-4021
254031	25-4031
259041	25-9041
2590XX	25-9011
2590XX	25-9021
2590XX	25-9031
2590XX	25-9099
271010	27-1011
271010	27-1012
271010	27-1013
271010	27-1014
271010	27-1019
271020	27-1021
271020	27-1022
271020	27-1023
271020	27-1024
271020	27-1025
271020	27-1026
271020	27-1027
271020	27-1029
272011	27-2011
272012	27-2012
272020	27-2021
272020	27-2022
272020	27-2023
272030	27-2031
272030	27-2032
272040	27-2041
272040	27-2042
272099	27-2099
273010	27-3011
273010	27-3012
273020	27-3021
273020	27-3022
273031	27-3031
273041	27-3041
273042	27-3042
273043	27-3043
273090	27-3091
273090	27-3099
274021	27-4021
274030	27-4031
274030	27-4032
2740XX	27-4011
2740XX	27-4012
2740XX	27-4013
2740XX	27-4014
2740XX	27-4099
291011	29-1011
291020	29-1021
291020	29-1022
291020	29-1023
291020	29-1024
291020	29-1029
291031	29-1031
291041	29-1041
291051	29-1051
291060	29-1061
291060	29-1062
291060	29-1063
291060	29-1064
291060	29-1065
291060	29-1066
291060	29-1067
291060	29-1069
291071	29-1071
291081	29-1081
291122	29-1122
291123	29-1123
291124	29-1124
291125	29-1125
291126	29-1126
291127	29-1127
29112X	29-1128
29112X	29-1129
291131	29-1131
291141	29-1141
291151	29-1151
291181	29-1181
291199	29-1199
2911XX	29-1161
2911XX	29-1171
292010	29-2011
292010	29-2012
292021	29-2021
292030	29-2031
292030	29-2032
292030	29-2033
292030	29-2034
292030	29-2035
292041	29-2041
292050	29-2051
292050	29-2052
292050	29-2053
292050	29-2054
292050	29-2055
292050	29-2056
292050	29-2057
292061	29-2061
292071	29-2071
292081	29-2081
292090	29-2091
292090	29-2092
292090	29-2099
299000	29-9011
299000	29-9012
299000	29-9091
299000	29-9092
299000	29-9099
311010	31-1011
311010	31-1013
311010	31-1014
311010	31-1015
312010	31-2011
312010	31-2012
312020	31-2021
312020	31-2022
319011	31-9011
319091	31-9091
319092	31-9092
319094	31-9094
319095	31-9095
319096	31-9096
319097	31-9097
31909X	31-9093
31909X	31-9099
331011	33-1011
331012	33-1012
331021	33-1021
331099	33-1099
332011	33-2011
332020	33-2021
332020	33-2022
333010	33-3011
333010	33-3012
333021	33-3021
333050	33-3051
333050	33-3052
3330XX	33-3031
3330XX	33-3041
339011	33-9011
339021	33-9021
339030	33-9031
339030	33-9032
339091	33-9091
339093	33-9093
33909X	33-9092
33909X	33-9099
351011	35-1011
351012	35-1012
352010	35-2011
352010	35-2012
352010	35-2013
352010	35-2014
352010	35-2015
352010	35-2019
352021	35-2021
353011	35-3011
353021	35-3021
353022	35-3022
353031	35-3031
353041	35-3041
359021	35-9021
359031	35-9031
3590XX	35-9011
3590XX	35-9099
371011	37-1011
371012	37-1012
372012	37-2012
37201X	37-2011
37201X	37-2019
372021	37-2021
373010	37-3011
373010	37-3012
373010	37-3013
373010	37-3019
391010	39-1011
391010	39-1012
391021	39-1021
392011	39-2011
392021	39-2021
393010	39-3011
393010	39-3012
393010	39-3019
393021	39-3021
393031	39-3031
393090	39-3091
393090	39-3092
393090	39-3093
393090	39-3099
394031	39-4031
3940XX	39-4011
3940XX	39-4021
395011	39-5011
395012	39-5012
395090	39-5091
395090	39-5092
395090	39-5093
395090	39-5094
396010	39-6011
396010	39-6012
397010	39-7011
397010	39-7012
399011	39-9011
399021	39-9021
399030	39-9031
399030	39-9032
399041	39-9041
399099	39-9099
411011	41-1011
411012	41-1012
412010	41-2011
412010	41-2012
412021	41-2021
412022	41-2022
412031	41-2031
413011	41-3011
413021	41-3021
413031	41-3031
413041	41-3041
413099	41-3099
414010	41-4011
414010	41-4012
419010	41-9011
419010	41-9012
419020	41-9021
419020	41-9022
419031	41-9031
419041	41-9041
419091	41-9091
419099	41-9099
431011	43-1011
432011	43-2011
432021	43-2021
432099	43-2099
433011	43-3011
433021	43-3021
433031	43-3031
433041	43-3041
433051	43-3051
433061	43-3061
433071	43-3071
433099	43-3099
434011	43-4011
434031	43-4031
434041	43-4041
434051	43-4051
434061	43-4061
434071	43-4071
434081	43-4081
434111	43-4111
434121	43-4121
434131	43-4131
434141	43-4141
434161	43-4161
434171	43-4171
434181	43-4181
434199	43-4199
434XXX	43-4021
434XXX	43-4151
435011	43-5011
435021	43-5021
435030	43-5031
435030	43-5032
435041	43-5041
435051	43-5051
435052	43-5052
435053	43-5053
435061	43-5061
435071	43-5071
435081	43-5081
435111	43-5111
436010	43-6011
436010	43-6012
436010	43-6013
436010	43-6014
439011	43-9011
439021	43-9021
439022	43-9022
439041	43-9041
439051	43-9051
439061	43-9061
439071	43-9071
439081	43-9081
439111	43-9111
439XXX	43-9031
439XXX	43-9199
451011	45-1011
452011	45-2011
452041	45-2041
4520XX	45-2021
4520XX	45-2091
4520XX	45-2092
4520XX	45-2093
4520XX	45-2099
453000	45-3011
453000	45-3021
454011	45-4011
454020	45-4021
454020	45-4022
454020	45-4023
454020	45-4029
471011	47-1011
472011	47-2011
472031	47-2031
472040	47-2041
472040	47-2042
472040	47-2043
472040	47-2044
472050	47-2051
472050	47-2053
472061	47-2061
472071	47-2071
47207X	47-2072
47207X	47-2073
472080	47-2081
472080	47-2082
472111	47-2111
472121	47-2121
472130	47-2131
472130	47-2132
472140	47-2141
472140	47-2142
472150	47-2151
472150	47-2152
472161	47-2161
472181	47-2181
472211	47-2211
472221	47-2221
472XXX	47-2021
472XXX	47-2022
472XXX	47-2171
473010	47-3011
473010	47-3012
473010	47-3013
473010	47-3014
473010	47-3015
473010	47-3016
473010	47-3019
474011	47-4011
474021	47-4021
474031	47-4031
474041	47-4041
474051	47-4051
474061	47-4061
475021	47-5021
475031	47-5031
475040	47-5041
475040	47-5042
475040	47-5049
4750XX	47-5051
4750XX	47-5061
4750XX	47-5081
4750XX	47-5099
4750YY	47-5011
4750YY	47-5012
4750YY	47-5013
4750YY	47-5071
47XXXX	47-2231
47XXXX	47-4071
47XXXX	47-4091
47XXXX	47-4099
491011	49-1011
492011	49-2011
492020	49-2021
492020	49-2022
492091	49-2091
492092	49-2092
492096	49-2096
492097	49-2097
492098	49-2098
49209X	49-2093
49209X	49-2094
49209X	49-2095
493011	49-3011
493021	49-3021
493022	49-3022
493023	49-3023
493031	49-3031
493040	49-3041
493040	49-3042
493040	49-3043
493050	49-3051
493050	49-3052
493050	49-3053
493090	49-3091
493090	49-3092
493090	49-3093
499010	49-9011
499010	49-9012
499021	49-9021
499031	49-9031
499043	49-9043
499044	49-9044
49904X	49-9041
49904X	49-9045
499051	49-9051
499052	49-9052
499060	49-9061
499060	49-9062
499060	49-9063
499060	49-9064
499060	49-9069
499071	49-9071
499091	49-9091
499094	49-9094
499096	49-9096
499098	49-9098
4990XX	49-9081
4990XX	49-9092
4990XX	49-9093
4990XX	49-9095
4990XX	49-9097
4990XX	49-9099
511011	51-1011
512011	51-2011
512020	51-2021
512020	51-2022
512020	51-2023
512031	51-2031
512041	51-2041
512090	51-2091
512090	51-2092
512090	51-2093
512090	51-2099
513011	51-3011
513020	51-3021
513020	51-3022
513020	51-3023
513091	51-3091
513092	51-3092
513093	51-3093
513099	51-3099
514010	51-4011
514010	51-4012
514021	51-4021
514022	51-4022
514023	51-4023
514030	51-4031
514030	51-4032
514030	51-4033
514030	51-4034
514041	51-4041
514050	51-4051
514050	51-4052
5140XX	51-4061
5140XX	51-4062
5140XX	51-4071
5140XX	51-4072
514111	51-4111
514120	51-4121
514120	51-4122
514XXX	51-4035
514XXX	51-4081
514XXX	51-4191
514XXX	51-4192
514XXX	51-4193
514XXX	51-4194
514XXX	51-4199
515111	51-5111
515112	51-5112
515113	51-5113
516011	51-6011
516021	51-6021
516031	51-6031
516040	51-6041
516040	51-6042
516050	51-6051
516050	51-6052
516063	51-6063
516064	51-6064
51606X	51-6061
51606X	51-6062
516093	51-6093
51609X	51-6091
51609X	51-6092
51609X	51-6099
517011	51-7011
517021	51-7021
517041	51-7041
517042	51-7042
5170XX	51-7031
5170XX	51-7032
5170XX	51-7099
518010	51-8011
518010	51-8012
518010	51-8013
518021	51-8021
518031	51-8031
518090	51-8091
518090	51-8092
518090	51-8093
518090	51-8099
519010	51-9011
519010	51-9012
519020	51-9021
519020	51-9022
519020	51-9023
519030	51-9031
519030	51-9032
519041	51-9041
519051	51-9051
519061	51-9061
519071	51-9071
519080	51-9081
519080	51-9082
519080	51-9083
519111	51-9111
519120	51-9121
519120	51-9122
519120	51-9123
519151	51-9151
519191	51-9191
519194	51-9194
519195	51-9195
519196	51-9196
519197	51-9197
519198	51-9198
5191XX	51-9141
5191XX	51-9192
5191XX	51-9193
5191XX	51-9199
531000	53-1011
531000	53-1021
531000	53-1031
532010	53-2011
532010	53-2012
532020	53-2021
532020	53-2022
532031	53-2031
533011	53-3011
533020	53-3021
533020	53-3022
533030	53-3031
533030	53-3032
533030	53-3033
533041	53-3041
533099	53-3099
534010	53-4011
534010	53-4012
534010	53-4013
534031	53-4031
5340XX	53-4021
5340XX	53-4041
5340XX	53-4099
535020	53-5021
535020	53-5022
5350XX	53-5011
5350XX	53-5031
536021	53-6021
536031	53-6031
536051	53-6051
536061	53-6061
5360XX	53-6011
5360XX	53-6041
5360XX	53-6099
537021	53-7021
537030	53-7031
537030	53-7032
537030	53-7033
537051	53-7051
537061	53-7061
537062	53-7062
537063	53-7063
537064	53-7064
537070	53-7071
537070	53-7072
537070	53-7073
537081	53-7081
5370XX	53-7011
5370XX	53-7041
5371XX	53-7111
5371XX	53-7121
5371XX	53-7199
551010	55-1011
551010	55-1012
551010	55-1013
551010	55-1014
551010	55-1015
551010	55-1016
551010	55-1017
551010	55-1019
552010	55-2011
552010	55-2012
552010	55-2013
553010	55-3011
553010	55-3012
553010	55-3013
553010	55-3014
553010	55-3015
553010	55-3016
553010	55-3017
553010	55-3018
553010	55-3019
559830	55-3019
